25ph,60conduc,dvconduc,25ox,dvox,reindex,label
6.46,42.05,25.2,25.8,26.37,1.4746,capsicol
5.76,43.03,25.24,26.03,22.23,1.4753,capsicol
5.71,42.64,25.24,26.15,24.58,1.4747,capsicol
6.22,42.14,25.02,26.25,21.88,1.4742,capsicol
6.48,42.43,25.08,26.92,26.11,1.475,capsicol
6.01,44.2,25.06,26.39,25.62,1.4746,capsicol
5.79,43.52,24.8,25.18,23.28,1.4752,capsicol
6.16,43.51,25.37,26.83,23.27,1.4751,capsicol
6.25,44.72,24.87,26.27,24.45,1.4752,capsicol
6.12,42.9,24.92,25.56,25.89,1.475,capsicol
5.61,44.61,24.99,26.34,26.22,1.4751,capsicol
5.83,43.15,25.39,25.84,25.98,1.4743,capsicol
6.41,44.24,25.42,26.6,25.84,1.475,capsicol
6.25,43.57,25.16,25.78,25.67,1.475,capsicol
6.26,43.35,25.44,25.92,22.16,1.4749,capsicol
5.72,44.28,25.11,26.54,24.25,1.4748,capsicol
6.06,42.9,25.24,25.04,22.19,1.4745,capsicol
5.88,43.43,25.2,25.36,25.39,1.474,capsicol
5.78,44.1,25.23,26.52,23.47,1.474,capsicol
5.83,43.6,24.93,25.69,23.19,1.4742,capsicol
6.23,43.57,24.8,26.78,22.3,1.4744,capsicol
5.65,44.1,24.8,26.83,23.18,1.4752,capsicol
6.46,42.32,24.94,26.14,23.63,1.4743,capsicol
6.5,43.18,25.26,25.41,23.38,1.4751,capsicol
6.39,44.91,24.93,26.28,23.69,1.4749,capsicol
6.08,43.22,24.83,25.64,22.5,1.4752,capsicol
5.77,42.56,25.42,26.7,24.62,1.4743,capsicol
5.66,42.63,25.25,26.93,23.5,1.4742,capsicol
6.43,44.37,25.34,26.15,24.59,1.4749,capsicol
5.72,42.4,25.03,25.88,24.94,1.4752,capsicol
5.99,42.53,25.13,25.64,22.69,1.4747,capsicol
6.3,44.1,25.15,25.27,25.84,1.4751,capsicol
6.02,43.82,24.96,26.7,23.25,1.4749,capsicol
5.63,42.58,25.17,26.25,25.31,1.475,capsicol
6.48,43.96,24.87,25.3,26.02,1.4744,capsicol
5.12,37.87,14.13,13.31,25.62,1.4744,soybeanoil
5.31,34.59,13.46,11.45,28.09,1.4748,soybeanoil
5.08,38.23,14.64,12.83,29.44,1.4741,soybeanoil
5.52,38.75,15.18,11.25,26.71,1.474,soybeanoil
5.8,34.56,13.43,12.92,26.24,1.4747,soybeanoil
5.65,37.61,13.73,12.88,26.33,1.4749,soybeanoil
5.48,32.08,13.91,11.46,26.11,1.474,soybeanoil
5.21,36.02,13.71,13.0,29.86,1.474,soybeanoil
5.84,33.92,14.71,14.41,28.03,1.4738,soybeanoil
5.05,32.02,13.49,14.92,26.19,1.474,soybeanoil
5.83,38.22,14.12,14.23,28.5,1.4744,soybeanoil
5.28,31.66,14.87,11.85,27.9,1.4742,soybeanoil
5.04,38.9,13.64,11.63,26.67,1.4743,soybeanoil
5.68,36.89,15.08,13.97,25.19,1.4749,soybeanoil
5.78,34.01,13.93,10.18,29.72,1.4749,soybeanoil
5.46,37.08,15.22,10.66,25.93,1.4742,soybeanoil
5.63,36.35,15.87,13.66,29.12,1.4744,soybeanoil
5.61,30.53,16.56,14.38,29.83,1.4748,soybeanoil
5.5,32.54,15.9,14.75,26.86,1.4744,soybeanoil
5.69,36.8,15.1,11.99,28.87,1.4742,soybeanoil
5.88,32.84,14.88,12.32,25.29,1.4739,soybeanoil
5.08,37.62,13.47,14.76,29.18,1.4743,soybeanoil
5.97,33.92,15.0,13.62,26.28,1.4745,soybeanoil
5.6,32.97,15.07,13.53,26.1,1.4748,soybeanoil
5.13,36.67,14.06,11.75,25.36,1.4748,soybeanoil
5.56,34.03,14.53,12.57,27.49,1.474,soybeanoil
5.62,35.95,16.57,14.51,25.9,1.4745,soybeanoil
5.05,32.53,13.8,13.75,25.49,1.4741,soybeanoil
5.68,36.23,16.1,12.78,26.77,1.4745,soybeanoil
5.18,33.53,16.11,10.65,27.47,1.4749,soybeanoil
5.9,17.77,23.1,12.85,26.64,1.4751,colzaoil
6.06,20.66,21.11,11.91,24.48,1.4744,colzaoil
5.99,18.99,21.8,10.53,28.58,1.4747,colzaoil
6.06,19.14,19.53,11.59,25.34,1.4757,colzaoil
6.01,17.16,22.75,13.04,24.94,1.4749,colzaoil
5.9,18.32,20.98,9.96,27.44,1.4758,colzaoil
5.88,19.8,22.43,8.76,26.87,1.4746,colzaoil
6.24,20.01,21.03,9.52,27.81,1.4741,colzaoil
6.08,18.27,23.04,11.08,27.5,1.4757,colzaoil
6.07,19.8,21.36,11.13,27.37,1.4753,colzaoil
5.97,17.4,21.79,8.78,24.31,1.4745,colzaoil
6.21,17.47,19.41,11.8,24.18,1.4756,colzaoil
5.87,17.92,22.32,11.4,29.08,1.4747,colzaoil
6.24,17.25,20.28,11.51,29.95,1.4747,colzaoil
6.35,20.98,21.65,8.79,28.77,1.4754,colzaoil
6.22,19.9,22.23,9.86,24.32,1.474,colzaoil
6.01,20.95,20.69,9.9,28.83,1.4752,colzaoil
6.04,20.35,21.8,11.95,24.76,1.4748,colzaoil
5.92,18.01,21.52,9.43,27.48,1.4739,colzaoil
6.14,19.3,20.76,12.18,26.11,1.4757,colzaoil
6.32,18.28,21.31,12.2,29.0,1.4743,colzaoil
6.37,18.6,20.78,10.65,28.71,1.4747,colzaoil
6.09,17.59,20.44,9.92,24.14,1.4747,colzaoil
5.85,20.78,22.28,9.23,27.28,1.4743,colzaoil
6.13,18.02,23.06,13.46,25.39,1.4753,colzaoil
6.29,18.25,21.46,10.18,24.25,1.4743,colzaoil
5.87,19.53,22.86,8.79,26.02,1.4758,colzaoil
6.07,18.5,19.95,9.85,27.56,1.474,colzaoil
5.87,17.15,22.53,10.58,29.9,1.4753,colzaoil
5.81,19.07,20.63,13.78,28.45,1.4742,colzaoil
5.36,33.61,21.48,11.01,25.93,1.475,peanutoil
6.08,32.92,19.79,11.3,27.37,1.4746,peanutoil
5.52,32.41,20.85,8.21,26.61,1.4745,peanutoil
6.29,31.65,20.8,11.92,26.3,1.4749,peanutoil
6.38,32.82,19.44,8.88,26.18,1.4745,peanutoil
5.14,33.22,21.71,10.88,25.2,1.4751,peanutoil
5.77,32.51,20.65,10.45,28.71,1.4752,peanutoil
5.95,33.57,21.85,8.58,29.99,1.4747,peanutoil
5.39,32.04,22.12,8.26,28.12,1.4746,peanutoil
6.21,34.26,20.92,8.48,29.18,1.4752,peanutoil
5.61,32.84,19.32,12.17,27.36,1.4746,peanutoil
5.09,31.43,20.75,11.51,28.46,1.4746,peanutoil
5.01,33.48,20.98,10.67,28.54,1.4748,peanutoil
5.95,31.74,20.71,12.14,28.15,1.4751,peanutoil
5.08,31.9,20.48,8.24,26.21,1.4749,peanutoil
5.31,31.77,21.97,12.16,28.31,1.4746,peanutoil
6.25,32.64,22.15,10.8,26.71,1.4751,peanutoil
5.19,34.18,20.66,8.69,26.85,1.4745,peanutoil
6.61,33.52,22.08,8.43,27.19,1.4748,peanutoil
6.35,32.17,19.7,10.29,26.71,1.4747,peanutoil
5.76,34.38,21.62,9.37,25.45,1.4746,peanutoil
6.48,31.77,21.68,12.58,26.46,1.4747,peanutoil
5.51,33.68,19.58,10.91,27.62,1.4752,peanutoil
5.23,32.87,21.11,8.68,25.92,1.4747,peanutoil
5.22,32.43,20.58,9.86,25.12,1.4752,peanutoil
5.83,34.23,21.82,9.02,27.68,1.4749,peanutoil
6.35,31.27,22.15,8.48,25.59,1.4751,peanutoil
5.21,31.89,21.43,11.44,29.74,1.4752,peanutoil
5.66,31.33,20.42,11.47,28.55,1.4747,peanutoil
5.73,34.7,21.41,11.96,29.03,1.4745,peanutoil
6.71,34.87,21.86,11.9,27.17,1.4752,peanutoil
6.27,33.87,21.13,11.55,27.99,1.475,peanutoil
5.71,32.55,19.95,12.41,27.5,1.4751,peanutoil
5.75,33.2,19.35,9.5,26.96,1.4752,peanutoil
5.62,33.87,21.42,11.12,26.34,1.475,peanutoil
5.51,33.49,21.28,10.79,29.18,1.4753,peanutoil
5.01,34.45,19.59,9.18,25.51,1.4747,peanutoil
6.07,31.34,19.68,8.22,28.71,1.4752,peanutoil
5.26,34.49,20.0,8.52,29.4,1.4751,peanutoil
6.03,32.91,19.95,10.18,26.3,1.4747,peanutoil
6.6,32.24,20.46,8.45,26.93,1.4749,peanutoil
5.29,31.41,20.0,9.57,25.97,1.4749,peanutoil
6.52,32.21,19.75,12.41,27.46,1.4747,peanutoil
5.13,33.79,19.95,9.18,28.8,1.4753,peanutoil
5.59,33.64,19.97,10.18,25.46,1.4749,peanutoil
6.27,31.6,12.91,8.88,21.17,1.4749,oliveoil
5.95,30.23,12.36,7.8,19.25,1.4749,oliveoil
6.69,32.73,10.7,5.65,17.37,1.4749,oliveoil
6.59,32.24,14.75,7.85,20.52,1.4746,oliveoil
6.12,32.03,12.25,6.4,21.52,1.4748,oliveoil
5.83,28.72,13.02,2.73,20.69,1.4746,oliveoil
5.81,31.89,11.98,4.55,18.99,1.4748,oliveoil
6.11,29.49,13.62,8.54,17.49,1.4749,oliveoil
6.55,27.08,13.8,3.2,19.23,1.4749,oliveoil
6.24,30.12,10.25,2.05,18.55,1.4747,oliveoil
6.31,29.45,13.97,7.79,20.7,1.4747,oliveoil
5.6,29.78,14.04,6.35,19.25,1.4746,oliveoil
5.53,32.36,10.77,6.92,18.02,1.4747,oliveoil
6.35,28.08,11.42,6.8,18.78,1.4746,oliveoil
5.51,27.84,14.87,7.35,19.95,1.4745,oliveoil
6.17,29.04,11.55,5.51,21.83,1.4746,oliveoil
6.04,28.06,12.27,4.55,20.31,1.4746,oliveoil
6.55,31.92,14.65,3.67,19.98,1.4749,oliveoil
6.18,31.48,11.12,4.33,19.14,1.4745,oliveoil
6.72,29.96,11.05,6.87,21.52,1.4746,oliveoil
6.72,30.08,13.67,2.5,19.16,1.4745,oliveoil
6.59,28.77,12.06,6.21,17.99,1.4747,oliveoil
6.59,28.72,12.2,2.19,17.02,1.4749,oliveoil
6.55,27.44,11.28,4.09,17.75,1.4746,oliveoil
6.55,29.66,13.88,3.42,20.91,1.4747,oliveoil
5.7,29.48,11.42,7.66,21.56,1.4746,oliveoil
5.77,31.12,14.05,2.56,20.21,1.4746,oliveoil
6.23,29.26,13.83,6.03,20.69,1.4746,oliveoil
6.69,30.73,13.58,2.15,21.58,1.4748,oliveoil
6.15,32.34,12.5,6.04,19.1,1.475,oliveoil
