25ph,60conduc,dvconduc,25ox,dvox,reindex,label
4.63,42.22,27.86,21.68,21.65,1.4726,gutter
6.08,45.11,20.53,26.8,10.49,1.4733,gutter
4.98,38.03,26.57,35.07,14.01,1.4764,gutter
4.75,36.59,28.52,42.71,14.1,1.4731,gutter
4.79,33.35,24.25,34.97,10.67,1.4736,gutter
5.22,25.67,31.59,28.71,14.07,1.4753,gutter
6.05,38.98,26.42,38.82,18.11,1.4733,gutter
4.74,29.38,26.96,47.69,11.99,1.4726,gutter
6.32,39.92,23.77,15.22,10.85,1.4737,gutter
5.3,39.51,22.37,41.9,16.11,1.4764,gutter
5.73,25.52,26.85,14.17,12.37,1.4745,gutter
5.51,28.67,29.91,29.17,21.01,1.4745,gutter
5.27,29.44,26.82,14.83,18.39,1.4723,gutter
4.84,27.76,28.15,34.49,14.77,1.4758,gutter
6.49,48.26,28.55,34.98,17.72,1.4749,gutter
5.59,44.07,28.36,39.72,18.6,1.474,gutter
6.17,41.93,20.9,24.15,16.71,1.4757,gutter
5.36,47.24,22.02,38.23,18.26,1.4727,gutter
5.79,39.62,29.47,34.6,18.5,1.4747,gutter
4.94,33.69,22.81,14.07,12.8,1.4746,gutter
6.02,44.34,22.55,16.61,20.97,1.4732,gutter
5.94,26.87,25.61,46.21,13.45,1.4759,gutter
5.95,25.73,31.05,31.17,13.81,1.4727,gutter
6.37,33.2,22.75,44.06,18.75,1.4746,gutter
5.09,46.96,31.48,39.45,15.47,1.4762,gutter
5.6,32.48,26.25,15.98,19.23,1.4742,gutter
5.84,47.64,28.98,31.98,19.49,1.4749,gutter
5.96,32.71,29.89,17.86,14.37,1.475,gutter
4.99,36.96,21.85,21.94,11.8,1.4741,gutter
5.64,31.09,22.66,26.38,16.64,1.4756,gutter
6.26,36.87,24.49,34.23,13.56,1.4748,gutter
6.31,34.95,24.75,21.33,10.5,1.4752,gutter
6.3,31.47,19.7,39.98,16.39,1.472,gutter
5.83,43.88,21.25,39.87,17.92,1.4752,gutter
5.06,46.6,21.37,20.32,12.66,1.4754,gutter
4.99,34.84,29.65,17.7,19.51,1.4757,gutter
6.45,36.48,30.2,44.91,20.92,1.4746,gutter
6.34,42.45,28.28,31.67,15.58,1.473,gutter
5.9,32.59,24.12,47.16,20.93,1.4749,gutter
6.01,34.2,21.15,31.74,21.83,1.4732,gutter
4.69,45.71,26.21,34.42,13.36,1.4727,gutter
5.49,43.67,19.09,36.79,12.77,1.4758,gutter
5.31,37.83,21.75,27.93,20.14,1.4736,gutter
5.18,32.13,25.31,30.01,16.99,1.4738,gutter
6.07,40.86,33.25,27.81,18.81,1.4725,gutter
6.04,42.32,26.24,40.17,16.24,1.4758,gutter
6.01,40.4,29.03,24.03,21.29,1.4732,gutter
6.15,47.74,29.07,13.2,17.71,1.4754,gutter
4.83,30.21,28.96,19.82,18.51,1.4763,gutter
5.1,39.9,22.79,27.56,20.07,1.4728,gutter
6.05,27.01,25.43,29.83,16.22,1.4726,gutter
6.37,26.41,30.36,35.8,16.0,1.4749,gutter
5.8,34.23,25.54,17.46,19.18,1.4761,gutter
5.83,31.34,30.65,29.7,18.29,1.4725,gutter
5.64,44.77,30.17,42.49,16.45,1.4722,gutter
6.35,31.4,23.49,15.42,17.14,1.4754,gutter
6.16,27.68,24.13,37.7,16.38,1.4736,gutter
6.59,42.09,23.79,39.03,15.21,1.474,gutter
6.7,43.25,21.5,22.89,20.12,1.4751,gutter
5.22,44.99,30.63,36.21,12.52,1.4731,gutter
4.75,40.92,18.88,26.47,17.36,1.4744,gutter
5.94,25.95,21.67,29.05,13.75,1.4748,gutter
4.93,46.34,27.02,34.21,10.55,1.4725,gutter
4.96,40.67,26.58,27.12,10.92,1.4737,gutter
5.07,28.8,32.24,19.96,20.99,1.4747,gutter
5.51,30.0,25.3,34.51,22.57,1.4728,gutter
6.04,37.78,29.02,18.66,17.23,1.4727,gutter
6.32,47.24,30.91,22.82,14.08,1.4738,gutter
5.19,32.35,27.46,42.49,16.01,1.4762,gutter
5.53,37.91,22.66,30.43,20.31,1.4744,gutter
6.31,37.1,29.59,37.14,18.3,1.4743,gutter
4.68,27.93,31.3,12.98,20.46,1.4757,gutter
5.01,27.77,20.24,43.04,14.77,1.4763,gutter
5.32,41.73,26.35,19.51,10.82,1.4758,gutter
5.02,30.43,24.95,21.86,21.16,1.4755,gutter
6.39,31.84,30.55,36.95,18.17,1.4743,gutter
5.8,42.55,19.35,30.63,21.05,1.4725,gutter
5.48,30.8,20.85,29.53,16.85,1.4752,gutter
4.89,41.83,31.2,48.09,14.17,1.4743,gutter
5.41,25.38,21.52,14.67,10.45,1.476,gutter
4.96,34.4,23.67,18.54,12.71,1.4743,gutter
6.22,35.03,24.51,14.74,17.04,1.4735,gutter
6.19,37.41,30.29,30.56,19.53,1.4751,gutter
5.05,35.77,22.9,32.53,21.62,1.4727,gutter
4.69,33.93,25.7,29.86,18.44,1.4758,gutter
5.17,29.28,23.88,21.15,16.65,1.4757,gutter
5.95,39.65,22.23,17.04,11.75,1.4725,gutter
5.62,43.32,24.93,47.73,22.33,1.4751,gutter
6.11,39.35,26.21,31.22,16.87,1.4748,gutter
6.18,27.03,19.92,33.49,15.72,1.4741,gutter
4.93,44.8,27.99,29.81,21.73,1.4752,gutter
6.71,30.58,28.94,22.93,17.12,1.4749,gutter
5.58,26.53,30.7,30.5,18.11,1.4764,gutter
5.38,35.01,26.74,15.59,15.59,1.4733,gutter
5.16,41.73,24.37,39.45,17.2,1.4745,gutter
5.87,48.16,25.36,39.17,18.93,1.4751,gutter
5.97,31.16,32.82,14.94,11.41,1.4727,gutter
4.91,45.16,29.92,23.49,19.0,1.4757,gutter
6.58,33.88,24.29,37.58,18.32,1.4752,gutter
5.75,42.91,20.72,32.22,16.37,1.4752,gutter
5.76,41.64,26.6,28.93,15.37,1.4753,gutter
6.2,26.7,23.49,36.69,13.02,1.4757,gutter
5.56,28.57,32.46,32.19,12.16,1.4763,gutter
5.02,40.88,29.48,44.9,16.58,1.4731,gutter
6.45,40.55,30.68,37.48,21.38,1.4738,gutter
4.92,43.66,25.93,37.73,18.13,1.4724,gutter
6.32,38.13,27.72,27.93,12.61,1.4743,gutter
5.74,34.87,21.32,29.57,20.15,1.4733,gutter
5.06,46.95,25.56,19.95,22.03,1.4756,gutter
4.76,37.72,25.19,33.35,18.17,1.4751,gutter
5.73,36.35,29.47,22.75,13.43,1.4733,gutter
6.12,27.79,23.9,22.83,16.71,1.4743,gutter
5.72,30.87,32.05,36.71,10.91,1.4736,gutter
4.56,26.47,31.46,14.01,19.35,1.473,gutter
5.16,38.46,29.47,26.66,11.49,1.475,gutter
5.62,39.88,30.51,19.23,14.28,1.4746,gutter
6.28,40.2,22.13,26.42,15.27,1.4764,gutter
5.27,31.8,29.13,21.52,20.92,1.4727,gutter
5.23,41.72,26.99,25.04,12.84,1.4746,gutter
5.3,46.89,25.06,23.02,12.59,1.4756,gutter
5.16,43.93,32.43,15.0,9.97,1.4737,gutter
6.4,29.24,19.7,21.3,11.0,1.4741,gutter
5.55,43.87,20.63,18.21,11.13,1.4724,gutter
5.86,45.73,22.17,33.95,11.85,1.4761,gutter
5.38,41.97,19.02,22.3,14.54,1.4746,gutter
4.65,29.64,26.44,37.48,20.21,1.4743,gutter
5.7,26.31,29.91,38.8,19.99,1.4739,gutter
6.05,48.22,19.17,16.55,12.64,1.4752,gutter
6.01,37.3,21.48,46.21,14.0,1.4753,gutter
5.75,39.41,28.22,34.8,20.55,1.4748,gutter
5.12,27.26,23.14,15.95,14.56,1.4728,gutter
5.81,40.81,23.38,15.94,16.49,1.4758,gutter
5.68,31.45,29.93,35.89,19.98,1.4753,gutter
5.99,42.19,31.28,43.64,12.2,1.4752,gutter
5.85,41.06,25.53,14.11,13.15,1.4737,gutter
5.53,37.52,20.27,23.65,16.82,1.4751,gutter
5.02,28.24,21.04,22.87,18.87,1.4734,gutter
5.29,25.44,31.05,14.96,13.69,1.4746,gutter
4.9,32.81,21.69,18.78,19.52,1.4744,gutter
5.46,43.13,22.0,22.05,15.03,1.4739,gutter
5.14,34.88,22.53,17.33,14.94,1.4723,gutter
6.56,47.74,31.06,16.75,13.2,1.4733,gutter
5.14,35.19,30.77,28.55,12.67,1.4732,gutter
5.55,39.0,27.08,23.55,21.01,1.4752,gutter
6.26,38.38,30.21,39.15,17.19,1.4743,gutter
5.14,32.13,28.5,38.54,22.0,1.4764,gutter
5.75,27.5,25.89,38.22,11.0,1.4729,gutter
6.16,39.78,31.38,37.81,21.89,1.4759,gutter
6.3,48.45,30.18,41.85,11.13,1.4756,gutter
5.11,31.97,22.71,23.24,15.5,1.476,gutter
6.26,29.82,29.58,36.35,15.15,1.4739,gutter
5.45,37.47,30.44,22.65,20.44,1.4745,gutter
6.23,34.5,23.67,37.02,9.63,1.476,gutter
6.03,43.4,25.64,44.08,13.48,1.4736,gutter
6.28,44.32,26.52,44.6,12.8,1.4754,gutter
5.55,47.01,26.59,31.5,16.52,1.4744,gutter
6.44,46.49,29.38,16.05,14.9,1.474,gutter
5.24,46.58,26.4,30.24,16.04,1.4725,gutter
6.37,33.16,28.75,30.65,19.05,1.4728,gutter
5.38,44.44,25.16,20.67,11.66,1.4764,gutter
5.77,44.23,29.04,22.03,11.45,1.4739,gutter
5.82,47.06,29.67,17.14,19.72,1.4764,gutter
6.09,35.59,31.98,19.39,19.55,1.4748,gutter
6.21,46.59,21.42,41.16,16.2,1.4757,gutter
5.15,44.04,22.72,36.43,14.26,1.4748,gutter
6.31,26.44,32.17,40.38,20.62,1.4744,gutter
4.59,39.17,20.39,38.1,18.75,1.4752,gutter
5.63,46.58,26.62,15.77,11.22,1.4737,gutter
4.81,26.19,22.94,16.95,13.94,1.4727,gutter
5.11,32.04,27.18,32.71,11.71,1.4744,gutter
5.61,40.17,20.98,34.16,16.74,1.4724,gutter
4.91,41.82,19.74,41.34,20.38,1.4756,gutter
5.38,39.04,20.07,25.5,20.72,1.4733,gutter
5.33,25.7,22.05,24.61,16.69,1.4762,gutter
5.32,42.72,21.07,38.56,17.06,1.4736,gutter
5.14,33.6,27.52,15.94,17.85,1.476,gutter
4.82,34.57,29.3,39.86,10.45,1.4747,gutter
5.34,41.5,21.54,19.91,11.54,1.4747,gutter
5.66,46.13,25.75,30.08,20.32,1.4757,gutter
5.42,44.67,24.21,45.47,14.95,1.4762,gutter
6.18,37.12,19.99,43.26,13.87,1.4743,gutter
6.5,32.88,29.42,45.81,11.92,1.4756,gutter
6.51,42.72,27.43,26.35,17.7,1.4744,gutter
5.25,44.37,31.99,47.42,15.73,1.4741,gutter
5.03,48.38,21.48,21.78,17.06,1.4759,gutter
5.84,37.33,28.3,40.23,17.19,1.4731,gutter
5.1,35.27,24.3,13.31,10.44,1.4746,gutter
6.24,26.74,22.47,17.45,13.35,1.4743,gutter
6.56,45.64,21.45,29.5,19.1,1.4735,gutter
6.09,39.35,28.99,23.02,21.74,1.4733,gutter
5.43,43.1,27.23,31.35,11.08,1.4736,gutter
5.37,45.52,27.6,25.64,13.9,1.4752,gutter
6.31,43.54,25.06,45.19,17.88,1.474,gutter
5.97,41.59,31.42,14.39,17.81,1.4739,gutter
6.1,37.14,26.98,42.77,12.6,1.4726,gutter
5.2,43.62,29.53,37.35,12.54,1.4752,gutter
6.24,27.95,21.11,32.03,15.07,1.4734,gutter
5.03,28.96,26.52,18.16,14.27,1.4751,gutter
6.48,36.71,27.34,35.46,10.75,1.4724,gutter
6.07,46.09,27.59,30.37,19.81,1.4746,gutter
5.67,47.17,27.88,29.11,16.54,1.4722,gutter
6.3,41.27,29.8,25.0,16.05,1.4759,gutter
5.59,26.53,27.2,37.43,16.13,1.4744,gutter
4.77,46.94,25.84,21.1,16.15,1.473,gutter
6.49,28.19,31.06,43.15,19.5,1.4744,gutter
4.97,29.45,29.48,15.99,20.32,1.4755,gutter
4.88,48.93,22.83,32.22,11.36,1.4743,gutter
4.9,37.93,18.24,18.32,20.62,1.4759,gutter
6.58,41.41,23.92,20.24,15.95,1.4743,gutter
6.19,44.05,29.33,37.33,9.33,1.4746,gutter
5.99,39.52,23.18,41.54,9.47,1.4733,gutter
5.77,25.62,27.01,29.01,14.95,1.4752,gutter
4.99,36.22,21.25,33.89,12.66,1.4733,gutter
5.38,33.69,24.74,24.72,19.62,1.4759,gutter
5.77,31.34,26.35,40.77,20.01,1.4741,gutter
4.89,28.65,21.79,23.57,19.43,1.476,gutter
5.97,27.76,24.47,20.89,18.0,1.4748,gutter
6.46,31.5,20.73,36.43,21.53,1.4744,gutter
6.02,46.82,22.15,46.09,21.62,1.4746,gutter
6.3,29.37,21.61,43.92,19.11,1.476,gutter
5.58,43.75,29.75,31.52,21.93,1.4723,gutter
5.84,40.62,27.04,30.3,14.43,1.4734,gutter
4.7,46.17,29.27,44.75,9.8,1.4724,gutter
6.21,43.33,20.15,35.0,15.03,1.4742,gutter
5.02,25.13,28.66,37.25,19.1,1.4754,gutter
5.58,32.0,28.62,31.96,11.21,1.4745,gutter
5.86,34.61,26.35,34.68,14.57,1.4744,gutter
5.82,35.52,33.52,41.96,15.51,1.4765,gutter
5.18,40.99,28.79,33.78,16.2,1.4751,gutter
5.68,36.48,19.12,38.5,20.94,1.4733,gutter
5.76,32.0,22.34,20.88,16.71,1.4742,gutter
5.4,47.36,22.89,35.29,16.4,1.4765,gutter
5.02,43.38,29.71,40.85,14.76,1.4728,gutter
4.71,34.48,21.32,42.4,14.49,1.4729,gutter
5.9,46.85,28.69,19.56,20.44,1.4755,gutter
6.74,25.9,30.94,27.68,15.89,1.4758,gutter
5.08,48.36,23.61,18.79,20.18,1.4745,gutter
5.98,44.89,22.48,24.82,15.91,1.4737,gutter
4.98,38.53,24.09,32.41,20.93,1.4735,gutter
4.74,24.67,29.25,13.64,13.26,1.474,gutter
5.74,42.73,26.04,45.41,14.49,1.4729,gutter
5.18,25.28,19.38,31.71,14.68,1.4733,gutter
5.53,41.4,19.36,23.13,21.0,1.4766,gutter
5.72,40.73,24.59,27.85,21.06,1.4728,gutter
5.27,30.59,20.16,38.21,18.5,1.4753,gutter
4.7,33.84,20.84,27.51,14.07,1.4746,gutter
5.77,28.38,24.01,19.4,16.89,1.4731,gutter
5.47,34.7,27.41,28.33,19.71,1.476,gutter
6.21,26.13,21.17,35.97,13.21,1.4749,gutter
6.17,40.6,21.61,18.15,13.45,1.4733,gutter
5.86,33.32,26.91,21.36,22.22,1.4751,gutter
5.68,37.8,31.0,36.96,14.61,1.4763,gutter
6.5,33.32,27.0,30.61,11.23,1.4756,gutter
5.14,30.54,31.39,30.24,17.7,1.475,gutter
6.14,26.2,31.69,38.55,18.32,1.4727,gutter
5.49,43.22,24.63,46.25,13.18,1.473,gutter
6.31,45.93,21.83,33.0,14.1,1.4738,gutter
6.62,30.44,23.73,19.01,17.56,1.4754,gutter
5.86,41.89,22.72,43.92,10.37,1.4733,gutter
5.16,39.25,31.33,22.42,11.77,1.4744,gutter
5.27,31.82,21.83,26.89,13.39,1.4733,gutter
4.87,40.99,20.36,28.23,14.63,1.4726,gutter
6.02,33.26,26.22,42.87,13.63,1.4756,gutter
4.97,26.41,24.5,37.04,19.61,1.4743,gutter
5.17,32.74,27.96,46.88,21.88,1.4761,gutter
4.73,32.28,24.62,35.45,19.79,1.4766,gutter
5.96,43.6,22.71,33.65,18.7,1.4747,gutter
4.92,35.8,27.05,27.08,19.57,1.4727,gutter
6.39,43.91,20.71,31.84,14.42,1.4763,gutter
5.77,32.57,25.08,35.11,21.11,1.4731,gutter
5.13,33.87,24.38,36.72,20.9,1.4726,gutter
5.43,32.95,20.74,32.2,19.96,1.4728,gutter
5.76,36.49,23.56,43.68,14.8,1.4733,gutter
4.81,30.8,27.19,12.73,11.15,1.4746,gutter
5.27,45.23,21.33,24.66,11.14,1.4759,gutter
4.94,39.27,27.71,25.72,22.34,1.4729,gutter
5.1,25.68,23.13,45.75,17.15,1.4725,gutter
5.2,43.81,32.56,26.76,22.25,1.4753,gutter
6.69,34.79,26.53,14.33,14.93,1.4763,gutter
5.62,32.3,18.22,20.34,13.31,1.4724,gutter
5.9,41.24,29.22,24.84,21.54,1.4751,gutter
6.36,28.16,22.19,42.33,17.15,1.4744,gutter
6.32,28.76,21.41,45.6,19.92,1.4734,gutter
5.03,39.79,19.6,48.23,15.05,1.4731,gutter
4.95,41.31,27.04,16.94,10.93,1.4744,gutter
4.83,33.43,29.47,23.28,19.0,1.4735,gutter
5.38,26.74,20.5,22.84,15.35,1.476,gutter
5.53,28.47,33.28,20.0,20.13,1.4732,gutter
5.73,24.94,21.98,24.94,11.73,1.4751,gutter
5.61,31.72,28.8,15.0,9.94,1.4729,gutter
6.23,43.9,29.3,20.61,17.59,1.4727,gutter
5.39,39.71,24.7,42.25,13.45,1.4764,gutter
6.04,42.82,20.43,29.69,11.45,1.4723,gutter
6.29,38.09,30.06,29.73,16.95,1.4745,gutter
5.43,47.32,21.09,25.75,11.33,1.4746,gutter
5.83,29.6,24.3,35.59,14.47,1.4725,gutter
6.17,27.52,29.23,40.17,15.6,1.4723,gutter
6.74,31.85,27.66,31.81,15.87,1.4731,gutter
5.8,31.21,21.0,18.45,16.57,1.4737,gutter
4.92,47.45,29.81,16.53,16.64,1.4728,gutter
4.75,48.13,26.34,36.1,15.4,1.4731,gutter
6.16,33.51,31.29,17.81,14.42,1.4725,gutter
