25ph,60conduc,dvconduc,25ox,dvox,reindex,label
5.77,25.96,22.23,13.03,17.86,1.474,gutter
4.42,36.08,20.93,27.84,12.27,1.4725,gutter
5.49,34.57,20.2,17.59,15.17,1.4755,gutter
4.48,29.38,23.4,14.43,15.96,1.4744,gutter
5.26,29.16,21.78,27.31,16.47,1.4737,gutter
5.59,30.47,18.49,29.82,9.59,1.4739,gutter
5.97,22.09,23.53,27.01,14.19,1.4729,gutter
5.45,30.19,19.54,13.08,15.62,1.4741,gutter
6.21,34.91,22.67,28.47,13.99,1.4742,gutter
6.25,33.75,21.06,23.18,17.1,1.4728,gutter
6.31,40.32,17.14,11.18,13.81,1.4737,gutter
5.31,33.81,20.31,18.25,13.01,1.4738,gutter
6.7,40.52,21.07,21.36,13.81,1.4742,gutter
6.79,34.64,23.8,20.11,11.77,1.4757,gutter
6.73,35.25,17.85,12.61,12.19,1.4722,gutter
5.96,21.86,19.29,16.38,11.82,1.4737,gutter
5.09,33.15,20.87,26.96,9.23,1.4743,gutter
5.89,34.95,20.5,20.99,22.05,1.4701,capsicol
5.66,34.18,20.22,20.22,23.41,1.4764,capsicol
5.82,35.12,19.01,20.1,20.92,1.4752,capsicol
5.85,34.38,21.98,20.65,20.57,1.4751,capsicol
5.64,38.45,17.98,20.61,21.26,1.47,capsicol
5.64,33.22,16.85,20.34,21.95,1.4753,capsicol
5.86,34.33,16.98,20.84,21.78,1.4758,capsicol
5.53,35.45,21.62,19.66,22.75,1.4701,capsicol
5.65,33.51,20.14,20.99,21.91,1.4758,capsicol
5.83,36.53,16.6,20.37,21.93,1.4769,capsicol
5.95,34.26,20.07,20.19,23.55,1.4764,capsicol
6.03,33.24,17.95,9.61,23.67,1.476,capsicol
5.9,29.14,19.41,9.98,21.51,1.4754,capsicol
5.74,29.86,16.93,10.14,21.1,1.4768,capsicol
5.61,30.96,17.77,9.57,20.53,1.4702,capsicol
5.92,31.67,20.43,9.42,22.89,1.4768,capsicol
5.71,36.43,15.13,9.28,22.8,1.4766,capsicol
6.1,34.88,16.14,8.89,21.73,1.4767,capsicol
5.9,36.93,21.73,10.08,20.23,1.4766,capsicol
5.97,32.43,19.79,10.13,22.26,1.475,capsicol
5.74,32.35,16.64,9.99,21.61,1.4759,capsicol
5.47,30.99,17.04,9.25,23.79,1.4758,capsicol
5.83,32.03,21.34,15.77,21.53,1.4757,capsicol
5.8,36.63,22.26,16.76,22.09,1.4761,capsicol
6.0,33.74,20.91,16.12,22.12,1.4759,capsicol
5.97,36.07,18.54,16.83,20.39,1.4759,capsicol
6.08,32.48,19.98,16.76,20.73,1.4756,capsicol
5.9,35.89,22.23,15.79,20.23,1.4765,capsicol
5.98,36.17,24.15,15.87,21.09,1.4755,capsicol
5.67,33.45,17.78,16.69,22.0,1.4763,capsicol
5.9,32.54,18.1,15.7,21.43,1.4766,capsicol
5.62,32.87,23.77,15.97,20.5,1.4762,capsicol
5.73,36.02,23.55,16.31,20.0,1.4753,capsicol
5.99,33.85,17.77,11.81,23.62,1.4752,capsicol
5.92,33.87,23.08,10.18,20.17,1.4756,capsicol
5.81,32.56,23.41,12.73,22.69,1.4758,capsicol
5.78,33.03,23.02,12.03,21.07,1.4759,capsicol
5.86,34.6,17.18,13.19,21.98,1.4759,capsicol
5.95,34.09,22.42,10.06,21.36,1.4762,capsicol
5.79,32.84,19.75,10.39,21.55,1.4763,capsicol
5.87,36.7,21.41,11.88,21.65,1.4763,capsicol
5.66,35.81,21.05,10.88,21.68,1.4768,capsicol
5.93,35.71,23.49,11.36,21.09,1.4752,capsicol
5.64,34.35,23.54,12.58,20.87,1.4755,capsicol
5.65,40.93,24.27,16.51,25.17,1.4761,capsicol
5.85,40.48,23.8,13.36,25.6,1.475,capsicol
6.05,40.65,23.93,13.29,23.17,1.475,capsicol
5.83,40.46,23.07,16.7,24.92,1.4753,capsicol
5.93,22.76,7.72,5.18,27.16,1.4751,soybeanoil
5.71,19.16,8.52,6.25,26.03,1.4758,soybeanoil
5.79,17.55,9.09,5.34,27.35,1.4757,soybeanoil
6.08,23.27,7.28,5.18,28.64,1.4758,soybeanoil
5.68,18.11,8.91,6.01,26.9,1.4752,soybeanoil
5.79,18.86,7.95,5.95,28.51,1.4757,soybeanoil
5.75,19.56,8.35,5.25,26.94,1.4757,soybeanoil
5.87,20.83,8.75,5.51,27.1,1.4756,soybeanoil
5.63,18.05,9.03,5.14,27.22,1.4753,soybeanoil
5.72,20.76,7.74,6.41,28.47,1.4754,soybeanoil
5.91,21.3,8.13,5.85,28.92,1.4752,soybeanoil
5.94,19.75,9.17,5.25,28.09,1.4756,soybeanoil
5.17,19.66,7.8,4.9,28.32,1.4757,soybeanoil
5.3,21.88,9.09,4.13,30.63,1.473,soybeanoil
5.01,19.96,8.43,4.72,31.35,1.4762,soybeanoil
5.09,19.5,8.85,4.68,29.83,1.4752,soybeanoil
5.12,18.33,7.68,4.79,29.74,1.4757,soybeanoil
5.29,21.06,7.89,4.07,28.06,1.4758,soybeanoil
5.1,19.13,9.04,4.85,28.11,1.4755,soybeanoil
5.16,21.0,7.68,4.54,31.38,1.475,soybeanoil
5.25,18.27,7.75,5.92,28.9,1.4756,soybeanoil
5.27,18.8,7.66,5.85,29.19,1.4757,soybeanoil
5.26,21.36,8.79,5.97,28.47,1.4767,soybeanoil
5.14,20.6,8.48,4.77,28.83,1.4754,soybeanoil
6.54,26.28,13.02,6.42,27.21,1.4769,colzaoil
6.67,24.69,14.93,6.61,28.44,1.475,colzaoil
6.61,27.11,15.68,6.27,27.96,1.4742,colzaoil
6.52,26.63,14.43,5.52,28.5,1.4767,colzaoil
6.66,26.83,13.45,6.66,27.5,1.4754,colzaoil
6.64,24.27,13.93,5.53,27.16,1.4766,colzaoil
6.65,24.86,13.46,6.07,27.14,1.4763,colzaoil
6.67,25.78,12.95,6.63,27.99,1.4754,colzaoil
6.63,27.46,15.52,5.18,26.75,1.4755,colzaoil
6.61,24.65,13.96,5.72,28.48,1.4756,colzaoil
6.57,27.01,14.76,5.97,27.97,1.4765,colzaoil
6.66,26.26,15.18,5.46,26.56,1.4766,colzaoil
6.61,24.34,14.69,5.15,29.78,1.4751,colzaoil
6.61,25.05,14.58,6.08,30.85,1.475,colzaoil
6.68,28.19,16.24,5.06,28.85,1.4753,colzaoil
6.64,25.38,15.57,5.02,28.32,1.4765,colzaoil
6.65,28.78,13.1,5.27,28.06,1.4754,colzaoil
6.77,26.05,15.63,5.66,30.61,1.4764,colzaoil
6.68,24.3,13.33,5.2,29.64,1.4765,colzaoil
6.77,25.17,13.69,4.77,28.38,1.4768,colzaoil
6.75,24.88,13.19,6.31,31.41,1.4757,colzaoil
6.71,28.54,15.45,4.42,30.58,1.4769,colzaoil
6.7,27.09,13.15,5.96,28.82,1.4765,colzaoil
6.62,27.46,15.48,6.24,31.12,1.4762,colzaoil
5.16,28.7,17.11,3.83,24.9,1.4757,peanutoil
5.29,26.04,18.34,3.36,23.84,1.475,peanutoil
5.24,29.41,18.86,3.93,23.47,1.4754,peanutoil
5.16,26.49,18.53,3.63,24.94,1.475,peanutoil
5.05,26.47,17.88,4.0,24.3,1.4752,peanutoil
5.02,27.17,17.65,3.59,24.35,1.4754,peanutoil
5.15,30.67,19.22,3.89,22.9,1.4751,peanutoil
5.28,26.73,15.15,3.79,21.87,1.4755,peanutoil
5.24,27.12,17.0,3.19,21.72,1.4755,peanutoil
5.29,28.58,16.73,3.08,24.71,1.4758,peanutoil
5.03,29.73,18.12,3.41,23.38,1.4752,peanutoil
5.2,29.49,18.42,3.51,23.31,1.4759,peanutoil
4.83,30.77,15.42,5.81,20.77,1.4761,peanutoil
4.81,28.09,18.93,5.48,22.25,1.4765,peanutoil
4.84,28.66,19.3,6.27,22.29,1.475,peanutoil
4.99,29.38,18.69,5.1,21.09,1.4748,peanutoil
4.91,31.12,16.69,6.44,21.84,1.4758,peanutoil
4.83,30.54,16.96,5.21,18.96,1.4759,peanutoil
4.94,30.97,18.16,6.84,21.16,1.4758,peanutoil
4.77,30.02,15.16,5.74,19.19,1.4758,peanutoil
4.91,30.5,15.61,5.74,19.99,1.4751,peanutoil
4.72,26.81,17.22,6.36,20.13,1.475,peanutoil
4.78,29.23,15.19,4.93,19.26,1.4755,peanutoil
5.03,30.63,18.95,2.41,21.84,1.4748,peanutoil
4.87,25.19,16.4,3.95,20.98,1.4752,peanutoil
4.84,24.94,17.94,3.53,18.99,1.4756,peanutoil
4.96,30.99,17.12,2.84,20.87,1.4743,peanutoil
4.96,31.12,18.43,3.31,20.62,1.4758,peanutoil
5.08,29.86,18.23,2.8,19.0,1.4755,peanutoil
5.09,30.49,18.3,4.4,20.44,1.4745,peanutoil
4.84,29.89,15.24,3.66,19.72,1.4746,peanutoil
4.93,25.82,16.65,4.39,22.31,1.4762,peanutoil
4.86,30.45,15.92,4.34,19.97,1.4757,peanutoil
5.01,28.3,18.32,3.54,19.61,1.4752,peanutoil
4.96,31.92,17.63,3.24,20.81,1.4752,peanutoil
5.89,19.63,10.31,1.78,14.13,1.4756,oliveoil
5.78,20.68,8.56,2.68,15.17,1.4749,oliveoil
5.56,16.86,10.17,2.35,14.38,1.4751,oliveoil
5.89,20.82,7.97,2.56,14.37,1.4765,oliveoil
5.61,21.62,9.26,2.95,14.53,1.4756,oliveoil
5.51,18.96,10.2,1.92,15.35,1.4752,oliveoil
5.71,20.46,9.97,2.3,15.38,1.4753,oliveoil
5.59,21.6,10.52,3.32,14.52,1.4769,oliveoil
5.85,21.63,9.45,3.08,14.23,1.4752,oliveoil
5.87,20.5,9.99,2.89,15.35,1.4747,oliveoil
5.68,18.96,8.45,2.62,14.0,1.4763,oliveoil
5.54,18.4,8.04,1.91,15.08,1.4754,oliveoil
5.64,17.14,8.27,2.69,14.29,1.4762,oliveoil
5.67,20.93,8.68,2.23,14.78,1.4758,oliveoil
5.35,17.12,9.39,3.16,14.04,1.4748,oliveoil
5.4,20.17,9.95,2.79,15.31,1.4768,oliveoil
5.63,19.6,9.42,3.35,14.57,1.476,oliveoil
5.39,16.35,9.46,2.05,13.98,1.4753,oliveoil
5.31,18.53,8.18,1.82,14.13,1.4765,oliveoil
5.56,21.39,10.79,1.96,15.12,1.4748,oliveoil
5.5,17.31,9.26,3.21,15.13,1.475,oliveoil
5.42,17.54,9.25,3.53,14.73,1.4767,oliveoil
5.4,18.3,8.09,1.68,15.16,1.4752,oliveoil
5.38,20.46,8.47,3.52,15.12,1.476,oliveoil
